Player,OPP,MP,FGAVG,FGAAVG,FG%AVG,3PAVG,3PAAVG,3P%AVG,FTAVG,FTAAVG,FT%AVG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,+/-,Bucket
Gilgeous-Alexander,CHI,36:43,14,21.00,0.70,1.5,2,0.8335,4.5,4.5,1,1,4,5,12,1,3,2,2,41.3,+16,8.00
Gilgeous-Alexander,PHI,36:11,10.5,16.00,0.67,1,2,0.6665,12,12.5,0.972,3,3,6,5,2,0,1,3,26.6,+1,7.00
Gilgeous-Alexander,MIN,33:59,10.5,20.00,0.53,1,2.5,0.4165,13.5,14,0.972,1,3,4,4,3,2,3,2,26.8,+4,7.00
Gilgeous-Alexander,LAL,34:56,11.5,21.50,0.53,0.5,1.5,0.25,8,8,1,0,4,4,7,1,0,0,4,30.3,+15,7.00
Gilgeous-Alexander,DAL,38:33,12,20.00,0.60,0.5,2.5,0.125,8,8,1,1,2,3,9,5,1,2,4,19.6,+8,4.00
Gilgeous-Alexander,HOU,36:58,8.5,15.50,0.54,1.5,3.5,0.4585,6.5,7,0.875,0,3,3,6,6,1,2,4,33.0,-6,7.00
Gilgeous-Alexander,GSW,42:20,9.5,15.50,0.59,1,1.5,0.3335,5,6.5,0.764,3,2,5,5,5,1,0,4,32.1,+11,8.00
Gilgeous-Alexander,UTA,27:57,14,24.00,0.61,0,1.5,0,7.5,10,0.7525,1,3,4,7,3,0,1,1,31.0,+35,6.00
Gilgeous-Alexander,SAC,38:12,13.5,23.50,0.60,0,2,0,7,8.5,0.8635,2,4,6,9,2,0,3,2,35.6,+3,9.00
Gilgeous-Alexander,DEN,36:55,12.5,22.00,0.59,0.5,3,0.1,11,12,0.9445,0,6,6,8,2,0,2,1,21.2,+3,5.00
Gilgeous-Alexander,MEM,28:24,11,23.50,0.47,0.5,3.5,0.1,11.5,13,0.882,0,9,9,5,4,0,2,4,26.8,+30,6.00
Gilgeous-Alexander,LAC,32:08,8.5,19.00,0.45,0.5,2.5,0.1665,10,11,0.902,2,6,8,4,4,2,1,0,27.9,+9,7.00
Gilgeous-Alexander,LAL,38:15,9.5,21.50,0.44,1,4.5,0.25,10.5,11.5,0.909,1,4,5,7,3,0,3,2,29.7,-6,7.00
Gilgeous-Alexander,MIN,33:26,11.5,23.00,0.51,1,5.5,0.1835,8.5,9.5,0.8945,0,6,6,9,2,1,3,3,32.5,+16,7.00
Gilgeous-Alexander,NYK,36:22,13,20.00,0.65,0.5,4,0.1,7.5,8.5,0.8785,1,6,7,8,2,2,1,0,35.2,+12,8.00
Gilgeous-Alexander,DEN,33:23,13.5,21.00,0.65,1,4,0.2,7,8,0.873,0,4,4,3,2,1,1,3,35.4,+21,8.00
Gilgeous-Alexander,BRK,34:46,13.5,21.50,0.63,2,4,0.5335,9,9.5,0.9445,0,4,4,6,0,0,1,2,19.9,+9,5.00
Gilgeous-Alexander,BOS,36:38,10.5,17.50,0.58,1.5,2.5,0.5835,9.5,9.5,1,0,6,6,7,1,0,0,5,30.7,+3,8.00
Gilgeous-Alexander,ATL,35:24,10.5,18.50,0.55,2,3.5,0.55,7,8.5,0.8125,1,12,13,8,0,0,2,2,26.9,+2,7.00
Gilgeous-Alexander,BRK,35:44,12.5,23.00,0.55,2.5,4,0.6335,7,9.5,0.7215,1,8,9,6,0,0,2,5,26.4,-10,7.00
Gilgeous-Alexander,WAS,35:42,11,21.50,0.52,2,4,0.5335,9.5,13,0.7425,1,5,6,5,3,1,3,5,28.1,+3,7.00
Gilgeous-Alexander,MIA,34:10,11,18.00,0.61,2,4,0.5335,9,12.5,0.7335,0,2,2,8,1,1,3,3,23.8,-3,6.00
Gilgeous-Alexander,POR,21:07,11,17.00,0.65,2,4,0.5335,6,7.5,0.8,1,4,5,4,0,1,2,2,27.5,+41,7.00
Gilgeous-Alexander,ORL,35:57,11,16.00,0.69,1.5,4,0.3665,6,6.5,0.9,2,4,6,7,3,1,0,2,38.2,+14,8.00
